Name: laravel/laravel
Version: dev-feature-initial_folder_structure
Licenses: MIT
Dependencies:

Name                                     Version             License                         
asm89/stack-cors                         1.2.0               MIT                             
barryvdh/laravel-cors                    v0.11.2             MIT                             
barryvdh/laravel-ide-helper              v2.5.2              MIT                             
barryvdh/reflection-docblock             v2.0.5              MIT                             
behat/behat                              v3.5.0              MIT                             
behat/gherkin                            v4.5.1              MIT                             
behat/transliterator                     v1.2.0              Artistic-1.0                    
beyondcode/laravel-dump-server           1.2.2               MIT                             
beyondcode/laravel-er-diagram-generator  1.2.1               MIT                             
composer/ca-bundle                       1.1.3               MIT                             
composer/composer                        1.8.0               MIT                             
composer/semver                          1.4.2               MIT                             
composer/spdx-licenses                   1.5.0               MIT                             
composer/xdebug-handler                  1.3.1               MIT                             
consolidation/annotated-command          2.10.0              MIT                             
consolidation/config                     1.1.1               MIT                             
consolidation/log                        1.0.6               MIT                             
consolidation/output-formatters          3.4.0               MIT                             
consolidation/robo                       1.3.2               MIT                             
consolidation/self-update                1.1.5               MIT                             
container-interop/container-interop      1.2.0               MIT                             
darkaonline/l5-swagger                   5.7.2               MIT                             
dflydev/dot-access-data                  v1.1.0              MIT                             
dingo/api                                v2.0.0-alpha2       BSD-3-Clause                    
dingo/blueprint                          dev-master 76b1621  BSD-3-Clause                    
djaxho/laravel-cats                      v1.0.0              MIT                             
dnoegel/php-xdg-base-dir                 0.1                 MIT                             
doctrine/annotations                     v1.6.0              MIT                             
doctrine/cache                           v1.8.0              MIT                             
doctrine/dbal                            v2.9.0              MIT                             
doctrine/event-manager                   v1.0.0              MIT                             
doctrine/inflector                       v1.3.0              MIT                             
doctrine/instantiator                    1.1.0               MIT                             
doctrine/lexer                           v1.0.1              MIT                             
dragonmantank/cron-expression            v2.2.0              MIT                             
edgedesign/phpqa                         v1.19.0             MIT                             
egulias/email-validator                  2.1.7               MIT                             
erusev/parsedown                         1.7.1               MIT                             
escapestudios/symfony2-coding-standard   3.4.1               MIT                             
facebook/webdriver                       1.6.0               Apache-2.0                      
felixfbecker/advanced-json-rpc           v3.0.3              ISC                             
felixfbecker/language-server-protocol    v1.2.0              ISC                             
fideloper/proxy                          4.0.0               MIT                             
filp/whoops                              2.3.1               MIT                             
friendsofphp/php-cs-fixer                v2.13.1             MIT                             
fzaninotto/faker                         v1.8.0              MIT                             
grasmash/expander                        1.0.0               MIT                             
grasmash/yaml-expander                   1.4.0               MIT                             
guzzlehttp/guzzle                        6.3.3               MIT                             
guzzlehttp/promises                      v1.3.1              MIT                             
guzzlehttp/psr7                          1.5.2               MIT                             
hamcrest/hamcrest-php                    v2.0.0              BSD                             
jakub-onderka/php-console-color          v0.2                BSD-2-Clause                    
jakub-onderka/php-console-highlighter    v0.4                MIT                             
jakub-onderka/php-parallel-lint          v1.0.0              BSD-2-Clause                    
jean85/pretty-package-versions           1.2                 MIT                             
justinrainbow/json-schema                5.2.7               MIT                             
laravel/dusk                             v4.0.3              MIT                             
laravel/framework                        v5.7.16             MIT                             
laravel/nexmo-notification-channel       v1.0.1              MIT                             
laravel/slack-notification-channel       v1.0.2              MIT                             
laravel/telescope                        v1.0.10             MIT                             
laravel/tinker                           v1.0.8              MIT                             
lcobucci/jwt                             3.2.5               BSD-3-Clause                    
league/container                         2.4.1               MIT                             
league/flysystem                         1.0.49              MIT                             
league/fractal                           0.17.0              MIT                             
mockery/mockery                          1.2.0               BSD-3-Clause                    
monolog/monolog                          1.24.0              MIT                             
moontoast/math                           1.1.2               Apache-2.0                      
muglug/package-versions-56               1.2.4               MIT                             
myclabs/deep-copy                        1.8.1               MIT                             
myclabs/php-enum                         1.6.4               MIT                             
namshi/jose                              7.2.3               MIT                             
neronmoon/scriptsdev                     v0.1.4              MIT                             
nesbot/carbon                            1.36.1              MIT                             
netresearch/jsonmapper                   v1.4.0              OSL-3.0                         
nette/bootstrap                          v2.4.6              BSD-3-Clause, GPL-2.0, GPL-3.0  
nette/di                                 v2.4.14             BSD-3-Clause, GPL-2.0, GPL-3.0  
nette/finder                             v2.4.2              BSD-3-Clause, GPL-2.0, GPL-3.0  
nette/neon                               v2.4.3              BSD-3-Clause, GPL-2.0, GPL-3.0  
